epoch,train_loss,val_loss,val_acc,focus_recall,selection_score,selection_metric,seed
1,1.291068,1.118538,0.525926,0.820513,0.820513,focus_recall,42
2,0.974799,0.734190,0.770370,0.743590,0.743590,focus_recall,42
3,0.862864,0.589459,0.837037,0.769231,0.769231,focus_recall,42
4,0.704072,0.502051,0.837037,0.717949,0.717949,focus_recall,42
5,0.607901,0.416536,0.859259,0.820513,0.820513,focus_recall,42
6,0.538075,0.395272,0.844444,0.717949,0.717949,focus_recall,42
7,0.498882,0.370160,0.881481,0.794872,0.794872,focus_recall,42
8,0.461825,0.377285,0.874074,0.794872,0.794872,focus_recall,42
9,0.445562,0.321707,0.881481,0.846154,0.846154,focus_recall,42
10,0.423961,0.312254,0.896296,0.923077,0.923077,focus_recall,42
11,0.394754,0.313706,0.903704,0.923077,0.923077,focus_recall,42
12,0.413645,0.310198,0.896296,0.897436,0.897436,focus_recall,42
13,0.388302,0.302291,0.903704,0.846154,0.846154,focus_recall,42
14,0.383181,0.305170,0.903704,0.871795,0.871795,focus_recall,42
15,0.379620,0.295138,0.896296,0.846154,0.846154,focus_recall,42
16,0.352108,0.278132,0.911111,0.897436,0.897436,focus_recall,42
17,0.348674,0.296182,0.911111,0.897436,0.897436,focus_recall,42
18,0.334800,0.284808,0.911111,0.897436,0.897436,focus_recall,42
19,0.373736,0.283813,0.903704,0.846154,0.846154,focus_recall,42
20,0.330144,0.294592,0.903704,0.846154,0.846154,focus_recall,42
21,0.325578,0.277858,0.918519,0.897436,0.897436,focus_recall,42
22,0.345263,0.280158,0.918519,0.923077,0.923077,focus_recall,42
1,1.347858,1.110391,0.511111,0.846154,0.846154,focus_recall,42
2,0.994555,1.036879,0.518519,0.769231,0.769231,focus_recall,42
1,1.285821,1.069563,0.592593,0.897436,0.897436,focus_recall,42
2,0.972854,0.800361,0.718519,0.769231,0.769231,focus_recall,42
3,0.863957,0.694430,0.762963,0.743590,0.743590,focus_recall,42
3,0.861363,0.593847,0.814815,0.769231,0.769231,focus_recall,42
4,0.721103,0.434529,0.851852,0.794872,0.794872,focus_recall,42
4,0.709459,0.382103,0.851852,0.743590,0.743590,focus_recall,42
5,0.619399,0.310361,0.866667,0.794872,0.794872,focus_recall,42
5,0.606980,0.336206,0.859259,0.794872,0.794872,focus_recall,42
6,0.523996,0.384540,0.844444,0.692308,0.692308,focus_recall,42
